C-n40-k10-L8

CUSTOMER NUMBER
40

VEHICLE NUMBER
10

LIMIT
8

COMPATIBILITY SETS
Vehicle 0
32, 1, 2, 34, 6, 38, 7, 8, 11, 12, 15, 16, 18, 19, 20, 21, 23, 24, 25, 28, 31

Vehicle 1
32, 34, 3, 35, 36, 5, 37, 6, 38, 7, 39, 11, 12, 15, 16, 18, 20, 23, 25, 26, 30

Vehicle 2
32, 1, 33, 34, 4, 36, 5, 6, 39, 11, 15, 16, 17, 18, 19, 23, 24, 25, 28, 29, 31

Vehicle 3
32, 33, 2, 35, 4, 5, 37, 7, 8, 9, 10, 13, 14, 15, 18, 19, 22, 24, 25, 26, 28, 31

Vehicle 4
32, 33, 2, 34, 3, 4, 36, 37, 6, 38, 7, 8, 9, 11, 13, 15, 16, 18, 20, 21, 22, 23, 26, 29

Vehicle 5
32, 1, 33, 34, 3, 35, 5, 37, 6, 38, 39, 8, 12, 17, 18, 25, 30

Vehicle 6
2, 4, 5, 6, 7, 8, 9, 12, 14, 15, 16, 17, 19, 20, 22, 23, 26, 27, 29, 30, 32, 33, 36, 37, 38

Vehicle 7
32, 2, 3, 35, 37, 38, 7, 39, 10, 11, 12, 13, 14, 15, 16, 20, 23, 25, 27, 29, 30, 31

Vehicle 8
2, 34, 3, 4, 6, 7, 39, 8, 9, 14, 19, 21, 22, 24, 25

Vehicle 9
1, 33, 2, 3, 36, 37, 6, 7, 39, 8, 16, 17, 20, 21, 24, 25, 29


DISTANCE MATRIX
0.0, 18.0, 20.0, 16.0, 18.0, 15.0, 19.0, 16.0, 18.0, 20.0, 16.0, 19.0, 38.0, 30.0, 39.0, 36.0, 40.0, 33.0, 35.0, 39.0, 10.0, 10.0, 12.0, 13.0, 15.0, 15.0, 15.0, 17.0, 17.0, 20.0, 20.0, 33.0, 31.0, 33.0, 32.0, 38.0, 35.0, 39.0, 41.0, 40.0
18.0, 0.0, 2.0, 3.0, 3.0, 4.0, 5.0, 5.0, 7.0, 7.0, 10.0, 10.0, 26.0, 24.0, 28.0, 27.0, 30.0, 27.0, 30.0, 32.0, 23.0, 21.0, 23.0, 21.0, 26.0, 25.0, 23.0, 27.0, 25.0, 30.0, 28.0, 48.0, 44.0, 46.0, 43.0, 51.0, 46.0, 51.0, 53.0, 50.0
20.0, 2.0, 0.0, 5.0, 3.0, 5.0, 5.0, 6.0, 7.0, 7.0, 10.0, 10.0, 25.0, 23.0, 27.0, 26.0, 29.0, 27.0, 30.0, 31.0, 25.0, 23.0, 24.0, 22.0, 28.0, 26.0, 25.0, 28.0, 26.0, 32.0, 29.0, 49.0, 46.0, 47.0, 44.0, 53.0, 47.0, 52.0, 54.0, 51.0
16.0, 3.0, 5.0, 0.0, 2.0, 1.0, 3.0, 2.0, 4.0, 5.0, 7.0, 7.0, 25.0, 21.0, 27.0, 26.0, 29.0, 25.0, 28.0, 30.0, 20.0, 18.0, 19.0, 17.0, 23.0, 22.0, 20.0, 23.0, 21.0, 27.0, 24.0, 44.0, 41.0, 42.0, 39.0, 48.0, 42.0, 47.0, 49.0, 46.0
18.0, 3.0, 3.0, 2.0, 0.0, 3.0, 2.0, 2.0, 4.0, 4.0, 7.0, 7.0, 24.0, 21.0, 26.0, 25.0, 27.0, 25.0, 27.0, 29.0, 21.0, 20.0, 21.0, 19.0, 24.0, 23.0, 21.0, 24.0, 23.0, 28.0, 25.0, 45.0, 42.0, 44.0, 41.0, 49.0, 43.0, 48.0, 50.0, 47.0
15.0, 4.0, 5.0, 1.0, 3.0, 0.0, 4.0, 2.0, 5.0, 6.0, 7.0, 8.0, 26.0, 22.0, 28.0, 26.0, 29.0, 26.0, 28.0, 30.0, 19.0, 17.0, 19.0, 17.0, 22.0, 21.0, 19.0, 23.0, 21.0, 26.0, 24.0, 43.0, 40.0, 42.0, 39.0, 47.0, 42.0, 47.0, 48.0, 46.0
19.0, 5.0, 5.0, 3.0, 2.0, 4.0, 0.0, 3.0, 2.0, 2.0, 5.0, 5.0, 21.0, 18.0, 24.0, 22.0, 25.0, 22.0, 25.0, 27.0, 21.0, 19.0, 20.0, 18.0, 24.0, 22.0, 20.0, 24.0, 22.0, 27.0, 24.0, 45.0, 41.0, 43.0, 40.0, 48.0, 42.0, 47.0, 49.0, 46.0
16.0, 5.0, 6.0, 2.0, 2.0, 2.0, 3.0, 0.0, 2.0, 4.0, 5.0, 5.0, 24.0, 20.0, 26.0, 24.0, 27.0, 23.0, 26.0, 28.0, 18.0, 17.0, 18.0, 16.0, 21.0, 20.0, 18.0, 22.0, 20.0, 25.0, 22.0, 43.0, 39.0, 41.0, 38.0, 46.0, 40.0, 46.0, 47.0, 45.0
18.0, 7.0, 7.0, 4.0, 4.0, 5.0, 2.0, 2.0, 0.0, 2.0, 3.0, 3.0, 21.0, 17.0, 23.0, 21.0, 24.0, 21.0, 24.0, 25.0, 19.0, 17.0, 18.0, 16.0, 22.0, 20.0, 18.0, 21.0, 19.0, 25.0, 22.0, 43.0, 39.0, 41.0, 37.0, 46.0, 40.0, 45.0, 47.0, 44.0
20.0, 7.0, 7.0, 5.0, 4.0, 6.0, 2.0, 4.0, 2.0, 0.0, 5.0, 3.0, 19.0, 16.0, 21.0, 20.0, 23.0, 20.0, 23.0, 25.0, 21.0, 19.0, 20.0, 18.0, 23.0, 22.0, 19.0, 23.0, 21.0, 26.0, 23.0, 44.0, 41.0, 42.0, 39.0, 48.0, 41.0, 46.0, 48.0, 45.0
16.0, 10.0, 10.0, 7.0, 7.0, 7.0, 5.0, 5.0, 3.0, 5.0, 0.0, 3.0, 21.0, 15.0, 23.0, 20.0, 24.0, 19.0, 21.0, 24.0, 16.0, 14.0, 15.0, 13.0, 18.0, 17.0, 14.0, 18.0, 16.0, 21.0, 18.0, 39.0, 36.0, 37.0, 34.0, 43.0, 36.0, 42.0, 43.0, 40.0
19.0, 10.0, 10.0, 7.0, 7.0, 8.0, 5.0, 5.0, 3.0, 3.0, 3.0, 0.0, 18.0, 14.0, 20.0, 18.0, 21.0, 18.0, 20.0, 22.0, 19.0, 17.0, 18.0, 15.0, 21.0, 19.0, 17.0, 20.0, 18.0, 24.0, 20.0, 42.0, 38.0, 39.0, 36.0, 45.0, 38.0, 43.0, 45.0, 42.0
38.0, 26.0, 25.0, 25.0, 24.0, 26.0, 21.0, 24.0, 21.0, 19.0, 21.0, 18.0, 0.0, 10.0, 3.0, 7.0, 5.0, 12.0, 14.0, 11.0, 35.0, 33.0, 33.0, 30.0, 35.0, 33.0, 30.0, 33.0, 30.0, 35.0, 30.0, 52.0, 47.0, 48.0, 43.0, 53.0, 44.0, 50.0, 51.0, 47.0
30.0, 24.0, 23.0, 21.0, 21.0, 22.0, 18.0, 20.0, 17.0, 16.0, 15.0, 14.0, 10.0, 0.0, 10.0, 5.0, 10.0, 4.0, 7.0, 8.0, 26.0, 24.0, 23.0, 20.0, 25.0, 23.0, 20.0, 23.0, 20.0, 25.0, 20.0, 41.0, 37.0, 37.0, 33.0, 43.0, 34.0, 40.0, 41.0, 37.0
39.0, 28.0, 27.0, 27.0, 26.0, 28.0, 24.0, 26.0, 23.0, 21.0, 23.0, 20.0, 3.0, 10.0, 0.0, 5.0, 2.0, 10.0, 12.0, 8.0, 35.0, 33.0, 33.0, 30.0, 35.0, 33.0, 30.0, 33.0, 30.0, 35.0, 30.0, 51.0, 46.0, 47.0, 42.0, 52.0, 43.0, 49.0, 50.0, 45.0
36.0, 27.0, 26.0, 26.0, 25.0, 26.0, 22.0, 24.0, 21.0, 20.0, 20.0, 18.0, 7.0, 5.0, 5.0, 0.0, 5.0, 5.0, 7.0, 5.0, 31.0, 29.0, 29.0, 26.0, 30.0, 28.0, 25.0, 28.0, 25.0, 30.0, 25.0, 46.0, 41.0, 41.0, 37.0, 47.0, 38.0, 43.0, 44.0, 40.0
40.0, 30.0, 29.0, 29.0, 27.0, 29.0, 25.0, 27.0, 24.0, 23.0, 24.0, 21.0, 5.0, 10.0, 2.0, 5.0, 0.0, 10.0, 11.0, 7.0, 36.0, 34.0, 33.0, 31.0, 35.0, 33.0, 30.0, 33.0, 30.0, 35.0, 30.0, 50.0, 46.0, 46.0, 41.0, 52.0, 42.0, 48.0, 49.0, 44.0
33.0, 27.0, 27.0, 25.0, 25.0, 26.0, 22.0, 23.0, 21.0, 20.0, 19.0, 18.0, 12.0, 4.0, 10.0, 5.0, 10.0, 0.0, 3.0, 5.0, 27.0, 25.0, 25.0, 22.0, 25.0, 24.0, 21.0, 23.0, 20.0, 25.0, 20.0, 40.0, 35.0, 36.0, 31.0, 42.0, 32.0, 38.0, 39.0, 34.0
35.0, 30.0, 30.0, 28.0, 27.0, 28.0, 25.0, 26.0, 24.0, 23.0, 21.0, 20.0, 14.0, 7.0, 12.0, 7.0, 11.0, 3.0, 0.0, 5.0, 29.0, 27.0, 26.0, 23.0, 26.0, 25.0, 22.0, 24.0, 21.0, 25.0, 20.0, 40.0, 35.0, 35.0, 30.0, 41.0, 31.0, 37.0, 38.0, 33.0
39.0, 32.0, 31.0, 30.0, 29.0, 30.0, 27.0, 28.0, 25.0, 25.0, 24.0, 22.0, 11.0, 8.0, 8.0, 5.0, 7.0, 5.0, 5.0, 0.0, 33.0, 31.0, 30.0, 28.0, 31.0, 29.0, 26.0, 29.0, 26.0, 30.0, 25.0, 45.0, 40.0, 40.0, 35.0, 46.0, 36.0, 42.0, 42.0, 38.0
10.0, 23.0, 25.0, 20.0, 21.0, 19.0, 21.0, 18.0, 19.0, 21.0, 16.0, 19.0, 35.0, 26.0, 35.0, 31.0, 36.0, 27.0, 29.0, 33.0, 0.0, 2.0, 2.0, 5.0, 5.0, 5.0, 7.0, 7.0, 8.0, 10.0, 11.0, 25.0, 22.0, 24.0, 22.0, 29.0, 25.0, 29.0, 31.0, 30.0
10.0, 21.0, 23.0, 18.0, 20.0, 17.0, 19.0, 17.0, 17.0, 19.0, 14.0, 17.0, 33.0, 24.0, 33.0, 29.0, 34.0, 25.0, 27.0, 31.0, 2.0, 0.0, 2.0, 3.0, 5.0, 5.0, 5.0, 7.0, 7.0, 10.0, 10.0, 26.0, 23.0, 25.0, 23.0, 30.0, 25.0, 30.0, 32.0, 30.0
12.0, 23.0, 24.0, 19.0, 21.0, 19.0, 20.0, 18.0, 18.0, 20.0, 15.0, 18.0, 33.0, 23.0, 33.0, 29.0, 33.0, 25.0, 26.0, 30.0, 2.0, 2.0, 0.0, 3.0, 3.0, 3.0, 4.0, 5.0, 5.0, 8.0, 8.0, 24.0, 21.0, 23.0, 21.0, 28.0, 24.0, 28.0, 30.0, 28.0
13.0, 21.0, 22.0, 17.0, 19.0, 17.0, 18.0, 16.0, 16.0, 18.0, 13.0, 15.0, 30.0, 20.0, 30.0, 26.0, 31.0, 22.0, 23.0, 28.0, 5.0, 3.0, 3.0, 0.0, 5.0, 4.0, 3.0, 5.0, 5.0, 9.0, 8.0, 26.0, 23.0, 25.0, 22.0, 30.0, 25.0, 30.0, 31.0, 29.0
15.0, 26.0, 28.0, 23.0, 24.0, 22.0, 24.0, 21.0, 22.0, 23.0, 18.0, 21.0, 35.0, 25.0, 35.0, 30.0, 35.0, 25.0, 26.0, 31.0, 5.0, 5.0, 3.0, 5.0, 0.0, 2.0, 5.0, 2.0, 5.0, 5.0, 7.0, 21.0, 18.0, 19.0, 17.0, 25.0, 20.0, 25.0, 26.0, 25.0
15.0, 25.0, 26.0, 22.0, 23.0, 21.0, 22.0, 20.0, 20.0, 22.0, 17.0, 19.0, 33.0, 23.0, 33.0, 28.0, 33.0, 24.0, 25.0, 29.0, 5.0, 5.0, 3.0, 4.0, 2.0, 0.0, 3.0, 2.0, 3.0, 5.0, 5.0, 22.0, 19.0, 20.0, 18.0, 26.0, 21.0, 25.0, 27.0, 25.0
15.0, 23.0, 25.0, 20.0, 21.0, 19.0, 20.0, 18.0, 18.0, 19.0, 14.0, 17.0, 30.0, 20.0, 30.0, 25.0, 30.0, 21.0, 22.0, 26.0, 7.0, 5.0, 4.0, 3.0, 5.0, 3.0, 0.0, 3.0, 2.0, 7.0, 5.0, 25.0, 21.0, 22.0, 19.0, 28.0, 22.0, 27.0, 29.0, 26.0
17.0, 27.0, 28.0, 23.0, 24.0, 23.0, 24.0, 22.0, 21.0, 23.0, 18.0, 20.0, 33.0, 23.0, 33.0, 28.0, 33.0, 23.0, 24.0, 29.0, 7.0, 7.0, 5.0, 5.0, 2.0, 2.0, 3.0, 0.0, 3.0, 3.0, 4.0, 21.0, 17.0, 19.0, 16.0, 24.0, 19.0, 24.0, 25.0, 24.0
17.0, 25.0, 26.0, 21.0, 23.0, 21.0, 22.0, 20.0, 19.0, 21.0, 16.0, 18.0, 30.0, 20.0, 30.0, 25.0, 30.0, 20.0, 21.0, 26.0, 8.0, 7.0, 5.0, 5.0, 5.0, 3.0, 2.0, 3.0, 0.0, 5.0, 3.0, 23.0, 19.0, 21.0, 18.0, 26.0, 20.0, 25.0, 27.0, 25.0
20.0, 30.0, 32.0, 27.0, 28.0, 26.0, 27.0, 25.0, 25.0, 26.0, 21.0, 24.0, 35.0, 25.0, 35.0, 30.0, 35.0, 25.0, 25.0, 30.0, 10.0, 10.0, 8.0, 9.0, 5.0, 5.0, 7.0, 3.0, 5.0, 0.0, 5.0, 18.0, 14.0, 15.0, 13.0, 21.0, 15.0, 20.0, 22.0, 20.0
20.0, 28.0, 29.0, 24.0, 25.0, 24.0, 24.0, 22.0, 22.0, 23.0, 18.0, 20.0, 30.0, 20.0, 30.0, 25.0, 30.0, 20.0, 20.0, 25.0, 11.0, 10.0, 8.0, 8.0, 7.0, 5.0, 5.0, 4.0, 3.0, 5.0, 0.0, 22.0, 18.0, 19.0, 15.0, 25.0, 18.0, 23.0, 25.0, 22.0
33.0, 48.0, 49.0, 44.0, 45.0, 43.0, 45.0, 43.0, 43.0, 44.0, 39.0, 42.0, 52.0, 41.0, 51.0, 46.0, 50.0, 40.0, 40.0, 45.0, 25.0, 26.0, 24.0, 26.0, 21.0, 22.0, 25.0, 21.0, 23.0, 18.0, 22.0, 0.0, 5.0, 5.0, 10.0, 5.0, 11.0, 9.0, 11.0, 14.0
