R-n40-k10-L8

CUSTOMER NUMBER
40

VEHICLE NUMBER
10

LIMIT
8

COMPATIBILITY SETS
Vehicle 0
3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 16, 17, 18, 19, 20, 22, 25, 26, 27, 28, 31, 33, 34, 35

Vehicle 1
33, 35, 4, 36, 6, 38, 7, 11, 17, 20, 23, 24, 25, 29, 31

Vehicle 2
32, 35, 36, 38, 39, 8, 12, 13, 15, 18, 20, 21, 22, 25, 26, 29, 30

Vehicle 3
1, 34, 3, 4, 36, 5, 37, 7, 8, 9, 10, 12, 13, 14, 20, 23, 24, 26, 27

Vehicle 4
33, 2, 34, 4, 37, 38, 7, 9, 11, 12, 13, 16, 17, 18, 21, 22, 23, 28, 31

Vehicle 5
33, 3, 36, 5, 37, 9, 12, 15, 16, 17, 18, 20, 21, 24, 27, 30

Vehicle 6
32, 1, 34, 3, 4, 37, 38, 39, 8, 11, 12, 13, 14, 15, 17, 18, 22, 26, 30

Vehicle 7
2, 3, 35, 4, 36, 6, 38, 39, 9, 11, 12, 13, 14, 16, 24, 26, 27, 30, 31

Vehicle 8
1, 2, 35, 37, 7, 39, 9, 11, 13, 14, 15, 16, 18, 21, 22, 23, 25, 26, 27, 28, 29, 30

Vehicle 9
1, 33, 2, 34, 3, 35, 4, 38, 7, 39, 10, 12, 13, 19, 20, 21, 23, 24, 25, 26, 28, 29, 30, 31


DISTANCE MATRIX
0.0, 15.0, 18.0, 22.0, 25.0, 20.0, 11.0, 21.0, 26.0, 32.0, 25.0, 33.0, 15.0, 11.0, 32.0, 30.0, 29.0, 30.0, 15.0, 32.0, 31.0, 18.0, 26.0, 36.0, 30.0, 33.0, 11.0, 5.0, 6.0, 29.0, 25.0, 17.0, 34.0, 24.0, 36.0, 41.0, 41.0, 21.0, 42.0, 33.0
15.0, 0.0, 32.0, 14.0, 32.0, 32.0, 24.0, 21.0, 31.0, 17.0, 15.0, 26.0, 16.0, 26.0, 46.0, 45.0, 42.0, 40.0, 22.0, 28.0, 16.0, 29.0, 39.0, 46.0, 27.0, 37.0, 19.0, 10.0, 12.0, 24.0, 11.0, 10.0, 20.0, 12.0, 24.0, 27.0, 40.0, 35.0, 56.0, 41.0
18.0, 32.0, 0.0, 34.0, 20.0, 23.0, 16.0, 36.0, 36.0, 47.0, 43.0, 50.0, 23.0, 9.0, 21.0, 13.0, 25.0, 32.0, 27.0, 47.0, 49.0, 10.0, 12.0, 23.0, 34.0, 30.0, 16.0, 23.0, 20.0, 38.0, 43.0, 35.0, 52.0, 39.0, 48.0, 55.0, 54.0, 15.0, 32.0, 25.0
22.0, 14.0, 34.0, 0.0, 25.0, 42.0, 33.0, 35.0, 45.0, 15.0, 29.0, 40.0, 11.0, 32.0, 53.0, 47.0, 51.0, 52.0, 35.0, 42.0, 22.0, 26.0, 36.0, 40.0, 14.0, 26.0, 18.0, 20.0, 16.0, 9.0, 21.0, 25.0, 31.0, 7.0, 14.0, 21.0, 55.0, 43.0, 64.0, 33.0
25.0, 32.0, 20.0, 25.0, 0.0, 41.0, 31.0, 46.0, 50.0, 40.0, 47.0, 57.0, 15.0, 25.0, 41.0, 29.0, 45.0, 50.0, 40.0, 56.0, 46.0, 10.0, 14.0, 15.0, 18.0, 10.0, 14.0, 28.0, 22.0, 23.0, 42.0, 40.0, 52.0, 32.0, 36.0, 45.0, 66.0, 35.0, 52.0, 9.0
20.0, 32.0, 23.0, 42.0, 41.0, 0.0, 10.0, 20.0, 13.0, 50.0, 33.0, 35.0, 35.0, 15.0, 20.0, 29.0, 11.0, 10.0, 11.0, 30.0, 46.0, 31.0, 36.0, 47.0, 50.0, 50.0, 30.0, 22.0, 26.0, 50.0, 39.0, 27.0, 43.0, 43.0, 55.0, 59.0, 32.0, 11.0, 26.0, 48.0
11.0, 24.0, 16.0, 33.0, 31.0, 10.0, 0.0, 20.0, 19.0, 42.0, 30.0, 35.0, 25.0, 7.0, 22.0, 25.0, 18.0, 20.0, 11.0, 31.0, 40.0, 22.0, 28.0, 39.0, 40.0, 41.0, 20.0, 14.0, 17.0, 40.0, 33.0, 22.0, 40.0, 35.0, 47.0, 51.0, 37.0, 11.0, 32.0, 39.0
21.0, 21.0, 36.0, 35.0, 46.0, 20.0, 20.0, 0.0, 12.0, 36.0, 14.0, 15.0, 33.0, 26.0, 40.0, 46.0, 31.0, 25.0, 10.0, 11.0, 29.0, 39.0, 47.0, 57.0, 47.0, 54.0, 32.0, 18.0, 24.0, 44.0, 22.0, 11.0, 24.0, 33.0, 45.0, 45.0, 20.0, 30.0, 47.0, 55.0
26.0, 31.0, 36.0, 45.0, 50.0, 13.0, 19.0, 12.0, 0.0, 48.0, 26.0, 24.0, 40.0, 26.0, 33.0, 42.0, 23.0, 13.0, 10.0, 17.0, 41.0, 41.0, 48.0, 58.0, 55.0, 59.0, 37.0, 25.0, 31.0, 54.0, 34.0, 22.0, 36.0, 43.0, 56.0, 57.0, 18.0, 25.0, 38.0, 58.0
32.0, 17.0, 47.0, 15.0, 40.0, 50.0, 42.0, 36.0, 48.0, 0.0, 25.0, 35.0, 25.0, 43.0, 64.0, 60.0, 60.0, 58.0, 40.0, 40.0, 11.0, 41.0, 50.0, 55.0, 26.0, 41.0, 31.0, 28.0, 26.0, 20.0, 15.0, 25.0, 21.0, 8.0, 11.0, 9.0, 53.0, 53.0, 74.0, 48.0
25.0, 15.0, 43.0, 29.0, 47.0, 33.0, 30.0, 14.0, 26.0, 25.0, 0.0, 11.0, 32.0, 35.0, 52.0, 55.0, 44.0, 39.0, 22.0, 15.0, 15.0, 42.0, 52.0, 60.0, 43.0, 53.0, 33.0, 20.0, 25.0, 38.0, 10.0, 8.0, 10.0, 24.0, 35.0, 33.0, 28.0, 41.0, 60.0, 56.0
33.0, 26.0, 50.0, 40.0, 57.0, 35.0, 35.0, 15.0, 24.0, 35.0, 11.0, 0.0, 42.0, 41.0, 55.0, 60.0, 46.0, 38.0, 25.0, 7.0, 25.0, 51.0, 60.0, 69.0, 54.0, 63.0, 43.0, 29.0, 35.0, 49.0, 20.0, 17.0, 15.0, 35.0, 46.0, 43.0, 18.0, 45.0, 61.0, 66.0
15.0, 16.0, 23.0, 11.0, 15.0, 35.0, 25.0, 33.0, 40.0, 25.0, 32.0, 42.0, 0.0, 22.0, 43.0, 36.0, 42.0, 45.0, 30.0, 43.0, 30.0, 15.0, 25.0, 30.0, 15.0, 21.0, 7.0, 15.0, 9.0, 15.0, 26.0, 25.0, 37.0, 17.0, 25.0, 32.0, 54.0, 33.0, 54.0, 25.0
11.0, 26.0, 9.0, 32.0, 25.0, 15.0, 7.0, 26.0, 26.0, 43.0, 35.0, 41.0, 22.0, 0.0, 21.0, 20.0, 20.0, 25.0, 18.0, 38.0, 42.0, 15.0, 21.0, 32.0, 36.0, 35.0, 15.0, 15.0, 16.0, 38.0, 36.0, 27.0, 44.0, 35.0, 46.0, 51.0, 44.0, 11.0, 32.0, 32.0
32.0, 46.0, 21.0, 53.0, 41.0, 20.0, 22.0, 40.0, 33.0, 64.0, 52.0, 55.0, 43.0, 21.0, 0.0, 15.0, 11.0, 22.0, 30.0, 50.0, 62.0, 31.0, 30.0, 40.0, 55.0, 50.0, 36.0, 36.0, 37.0, 58.0, 55.0, 44.0, 62.0, 56.0, 67.0, 73.0, 51.0, 11.0, 11.0, 45.0
30.0, 45.0, 13.0, 47.0, 29.0, 29.0, 25.0, 46.0, 42.0, 60.0, 55.0, 60.0, 36.0, 20.0, 15.0, 0.0, 25.0, 35.0, 36.0, 57.0, 61.0, 21.0, 15.0, 25.0, 46.0, 38.0, 29.0, 35.0, 33.0, 50.0, 55.0, 47.0, 64.0, 52.0, 61.0, 68.0, 61.0, 18.0, 25.0, 30.0
29.0, 42.0, 25.0, 51.0, 45.0, 11.0, 18.0, 31.0, 23.0, 60.0, 44.0, 46.0, 42.0, 20.0, 11.0, 25.0, 0.0, 11.0, 22.0, 40.0, 57.0, 35.0, 36.0, 47.0, 57.0, 55.0, 36.0, 32.0, 35.0, 58.0, 50.0, 38.0, 55.0, 53.0, 65.0, 69.0, 40.0, 10.0, 15.0, 50.0
30.0, 40.0, 32.0, 52.0, 50.0, 10.0, 20.0, 25.0, 13.0, 58.0, 39.0, 38.0, 45.0, 25.0, 22.0, 35.0, 11.0, 0.0, 18.0, 31.0, 53.0, 41.0, 44.0, 55.0, 60.0, 60.0, 40.0, 31.0, 36.0, 60.0, 46.0, 34.0, 49.0, 52.0, 65.0, 67.0, 30.0, 18.0, 25.0, 57.0
15.0, 22.0, 27.0, 35.0, 40.0, 11.0, 11.0, 10.0, 10.0, 40.0, 22.0, 25.0, 30.0, 18.0, 30.0, 36.0, 22.0, 18.0, 0.0, 20.0, 35.0, 32.0, 39.0, 49.0, 45.0, 49.0, 26.0, 15.0, 21.0, 44.0, 28.0, 16.0, 32.0, 35.0, 47.0, 49.0, 26.0, 20.0, 38.0, 48.0
32.0, 28.0, 47.0, 42.0, 56.0, 30.0, 31.0, 11.0, 17.0, 40.0, 15.0, 7.0, 43.0, 38.0, 50.0, 57.0, 40.0, 31.0, 20.0, 0.0, 30.0, 50.0, 58.0, 68.0, 55.0, 64.0, 42.0, 28.0, 34.0, 52.0, 25.0, 17.0, 21.0, 38.0, 50.0, 48.0, 13.0, 40.0, 55.0, 65.0
31.0, 16.0, 49.0, 22.0, 46.0, 46.0, 40.0, 29.0, 41.0, 11.0, 15.0, 25.0, 30.0, 42.0, 62.0, 61.0, 57.0, 53.0, 35.0, 30.0, 0.0, 45.0, 55.0, 60.0, 36.0, 49.0, 35.0, 26.0, 28.0, 29.0, 7.0, 19.0, 10.0, 15.0, 22.0, 18.0, 43.0, 51.0, 72.0, 55.0
18.0, 29.0, 10.0, 26.0, 10.0, 31.0, 22.0, 39.0, 41.0, 41.0, 42.0, 51.0, 15.0, 15.0, 31.0, 21.0, 35.0, 41.0, 32.0, 50.0, 45.0, 0.0, 10.0, 18.0, 25.0, 20.0, 10.0, 22.0, 17.0, 29.0, 40.0, 34.0, 50.0, 32.0, 40.0, 48.0, 58.0, 25.0, 42.0, 17.0
26.0, 39.0, 12.0, 36.0, 14.0, 36.0, 28.0, 47.0, 48.0, 50.0, 52.0, 60.0, 25.0, 21.0, 30.0, 15.0, 36.0, 44.0, 39.0, 58.0, 55.0, 10.0, 0.0, 11.0, 32.0, 22.0, 20.0, 31.0, 27.0, 37.0, 50.0, 44.0, 59.0, 42.0, 49.0, 57.0, 65.0, 26.0, 40.0, 15.0
36.0, 46.0, 23.0, 40.0, 15.0, 47.0, 39.0, 57.0, 58.0, 55.0, 60.0, 69.0, 30.0, 32.0, 40.0, 25.0, 47.0, 55.0, 49.0, 68.0, 60.0, 18.0, 11.0, 0.0, 31.0, 18.0, 26.0, 40.0, 34.0, 38.0, 57.0, 52.0, 67.0, 47.0, 50.0, 60.0, 76.0, 38.0, 50.0, 8.0
30.0, 27.0, 34.0, 14.0, 18.0, 50.0, 40.0, 47.0, 55.0, 26.0, 43.0, 54.0, 15.0, 36.0, 55.0, 46.0, 57.0, 60.0, 45.0, 55.0, 36.0, 25.0, 32.0, 31.0, 0.0, 15.0, 20.0, 30.0, 24.0, 7.0, 35.0, 38.0, 45.0, 20.0, 20.0, 30.0, 67.0, 47.0, 67.0, 23.0
33.0, 37.0, 30.0, 26.0, 10.0, 50.0, 41.0, 54.0, 59.0, 41.0, 53.0, 63.0, 21.0, 35.0, 50.0, 38.0, 55.0, 60.0, 49.0, 64.0, 49.0, 20.0, 22.0, 18.0, 15.0, 0.0, 22.0, 36.0, 29.0, 22.0, 47.0, 46.0, 57.0, 34.0, 35.0, 45.0, 74.0, 45.0, 61.0, 9.0
11.0, 19.0, 16.0, 18.0, 14.0, 30.0, 20.0, 32.0, 37.0, 31.0, 33.0, 43.0, 7.0, 15.0, 36.0, 29.0, 36.0, 40.0, 26.0, 42.0, 35.0, 10.0, 20.0, 26.0, 20.0, 22.0, 0.0, 14.0, 8.0, 22.0, 30.0, 26.0, 40.0, 23.0, 32.0, 39.0, 52.0, 26.0, 47.0, 23.0
5.0, 10.0, 23.0, 20.0, 28.0, 22.0, 14.0, 18.0, 25.0, 28.0, 20.0, 29.0, 15.0, 15.0, 36.0, 35.0, 32.0, 31.0, 15.0, 28.0, 26.0, 22.0, 31.0, 40.0, 30.0, 36.0, 14.0, 0.0, 6.0, 29.0, 20.0, 12.0, 29.0, 21.0, 33.0, 37.0, 38.0, 25.0, 46.0, 37.0
6.0, 12.0, 20.0, 16.0, 22.0, 26.0, 17.0, 24.0, 31.0, 26.0, 25.0, 35.0, 9.0, 16.0, 37.0, 33.0, 35.0, 36.0, 21.0, 34.0, 28.0, 17.0, 27.0, 34.0, 24.0, 29.0, 8.0, 6.0, 0.0, 23.0, 23.0, 18.0, 32.0, 19.0, 30.0, 35.0, 45.0, 27.0, 48.0, 31.0
29.0, 24.0, 38.0, 9.0, 23.0, 50.0, 40.0, 44.0, 54.0, 20.0, 38.0, 49.0, 15.0, 38.0, 58.0, 50.0, 58.0, 60.0, 44.0, 52.0, 29.0, 29.0, 37.0, 38.0, 7.0, 22.0, 22.0, 29.0, 23.0, 0.0, 30.0, 34.0, 39.0, 14.0, 13.0, 23.0, 64.0, 49.0, 69.0, 30.0
