R-n50-k12-L8

CUSTOMER NUMBER
50

VEHICLE NUMBER
12

LIMIT
8

COMPATIBILITY SETS
Vehicle 0
1, 5, 7, 9, 10, 11, 12, 14, 16, 17, 20, 22, 24, 25, 26, 27, 29, 30, 31, 32, 33, 35, 36, 38, 39, 40, 41, 42, 44, 47, 48, 49

Vehicle 1
1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 13, 14, 18, 19, 20, 21, 22, 24, 27, 29, 30, 33, 37, 38, 40, 41, 44, 45, 46

Vehicle 2
2, 6, 8, 12, 13, 14, 17, 18, 23, 24, 28, 29, 30, 31, 33, 35, 39, 41, 42, 43, 44, 45, 46, 47, 48

Vehicle 3
3, 6, 7, 8, 9, 10, 12, 14, 15, 18, 19, 20, 21, 22, 23, 25, 26, 28, 30, 32, 33, 35, 37, 39, 41, 42, 47

Vehicle 4
32, 33, 2, 4, 36, 7, 39, 10, 11, 43, 13, 14, 48, 19, 20, 21, 22, 26, 27, 29, 30

Vehicle 5
1, 33, 2, 35, 4, 38, 8, 40, 9, 11, 44, 13, 46, 15, 16, 48, 49, 18, 19, 20, 23, 27, 28, 30

Vehicle 6
1, 2, 3, 6, 8, 9, 10, 11, 13, 14, 15, 16, 18, 21, 23, 24, 26, 27, 28, 32, 34, 35, 36, 39, 41, 45, 46

Vehicle 7
32, 1, 33, 2, 3, 5, 39, 8, 9, 43, 12, 45, 14, 46, 21, 22, 26, 29, 31

Vehicle 8
2, 3, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 17, 19, 22, 23, 24, 25, 29, 30, 31, 33, 34, 35, 36, 37, 39, 40, 42, 43, 44, 46

Vehicle 9
1, 2, 4, 6, 7, 8, 9, 10, 12, 14, 15, 16, 19, 22, 23, 24, 25, 27, 32, 33, 38, 39, 40, 43, 44, 45, 46

Vehicle 10
2, 35, 4, 5, 37, 38, 7, 9, 12, 45, 14, 46, 15, 16, 48, 17, 19, 21, 22, 23, 25, 26

Vehicle 11
2, 3, 6, 8, 9, 14, 17, 20, 21, 23, 26, 27, 29, 31, 33, 34, 35, 36, 37, 39, 40, 41, 45, 46, 47


DISTANCE MATRIX
0.0, 15.0, 18.0, 22.0, 25.0, 20.0, 11.0, 21.0, 26.0, 32.0, 25.0, 33.0, 15.0, 11.0, 32.0, 30.0, 29.0, 30.0, 15.0, 32.0, 31.0, 18.0, 26.0, 36.0, 30.0, 33.0, 11.0, 5.0, 6.0, 29.0, 25.0, 17.0, 34.0, 24.0, 36.0, 41.0, 41.0, 21.0, 42.0, 33.0, 11.0, 28.0, 25.0, 34.0, 31.0, 29.0, 35.0, 34.0, 27.0, 43.0
15.0, 0.0, 32.0, 14.0, 32.0, 32.0, 24.0, 21.0, 31.0, 17.0, 15.0, 26.0, 16.0, 26.0, 46.0, 45.0, 42.0, 40.0, 22.0, 28.0, 16.0, 29.0, 39.0, 46.0, 27.0, 37.0, 19.0, 10.0, 12.0, 24.0, 11.0, 10.0, 20.0, 12.0, 24.0, 27.0, 40.0, 35.0, 56.0, 41.0, 24.0, 42.0, 40.0, 49.0, 46.0, 36.0, 39.0, 33.0, 28.0, 39.0
18.0, 32.0, 0.0, 34.0, 20.0, 23.0, 16.0, 36.0, 36.0, 47.0, 43.0, 50.0, 23.0, 9.0, 21.0, 13.0, 25.0, 32.0, 27.0, 47.0, 49.0, 10.0, 12.0, 23.0, 34.0, 30.0, 16.0, 23.0, 20.0, 38.0, 43.0, 35.0, 52.0, 39.0, 48.0, 55.0, 54.0, 15.0, 32.0, 25.0, 9.0, 12.0, 12.0, 18.0, 24.0, 35.0, 45.0, 47.0, 41.0, 58.0
22.0, 14.0, 34.0, 0.0, 25.0, 42.0, 33.0, 35.0, 45.0, 15.0, 29.0, 40.0, 11.0, 32.0, 53.0, 47.0, 51.0, 52.0, 35.0, 42.0, 22.0, 26.0, 36.0, 40.0, 14.0, 26.0, 18.0, 20.0, 16.0, 9.0, 21.0, 25.0, 31.0, 7.0, 14.0, 21.0, 55.0, 43.0, 64.0, 33.0, 25.0, 40.0, 45.0, 52.0, 53.0, 49.0, 53.0, 48.0, 42.0, 54.0
25.0, 32.0, 20.0, 25.0, 0.0, 41.0, 31.0, 46.0, 50.0, 40.0, 47.0, 57.0, 15.0, 25.0, 41.0, 29.0, 45.0, 50.0, 40.0, 56.0, 46.0, 10.0, 14.0, 15.0, 18.0, 10.0, 14.0, 28.0, 22.0, 23.0, 42.0, 40.0, 52.0, 32.0, 36.0, 45.0, 66.0, 35.0, 52.0, 9.0, 15.0, 18.0, 32.0, 36.0, 44.0, 52.0, 59.0, 59.0, 52.0, 68.0
20.0, 32.0, 23.0, 42.0, 41.0, 0.0, 10.0, 20.0, 13.0, 50.0, 33.0, 35.0, 35.0, 15.0, 20.0, 29.0, 11.0, 10.0, 11.0, 30.0, 46.0, 31.0, 36.0, 47.0, 50.0, 50.0, 30.0, 22.0, 26.0, 50.0, 39.0, 27.0, 43.0, 43.0, 55.0, 59.0, 32.0, 11.0, 26.0, 48.0, 25.0, 35.0, 20.0, 28.0, 16.0, 12.0, 22.0, 26.0, 22.0, 39.0
11.0, 24.0, 16.0, 33.0, 31.0, 10.0, 0.0, 20.0, 19.0, 42.0, 30.0, 35.0, 25.0, 7.0, 22.0, 25.0, 18.0, 20.0, 11.0, 31.0, 40.0, 22.0, 28.0, 39.0, 40.0, 41.0, 20.0, 14.0, 17.0, 40.0, 33.0, 22.0, 40.0, 35.0, 47.0, 51.0, 37.0, 11.0, 32.0, 39.0, 15.0, 28.0, 18.0, 27.0, 21.0, 20.0, 29.0, 31.0, 25.0, 42.0
21.0, 21.0, 36.0, 35.0, 46.0, 20.0, 20.0, 0.0, 12.0, 36.0, 14.0, 15.0, 33.0, 26.0, 40.0, 46.0, 31.0, 25.0, 10.0, 11.0, 29.0, 39.0, 47.0, 57.0, 47.0, 54.0, 32.0, 18.0, 24.0, 44.0, 22.0, 11.0, 24.0, 33.0, 45.0, 45.0, 20.0, 30.0, 47.0, 55.0, 32.0, 48.0, 38.0, 47.0, 37.0, 18.0, 18.0, 13.0, 7.0, 22.0
26.0, 31.0, 36.0, 45.0, 50.0, 13.0, 19.0, 12.0, 0.0, 48.0, 26.0, 24.0, 40.0, 26.0, 33.0, 42.0, 23.0, 13.0, 10.0, 17.0, 41.0, 41.0, 48.0, 58.0, 55.0, 59.0, 37.0, 25.0, 31.0, 54.0, 34.0, 22.0, 36.0, 43.0, 56.0, 57.0, 18.0, 25.0, 38.0, 58.0, 34.0, 48.0, 34.0, 42.0, 29.0, 6.0, 9.0, 13.0, 9.0, 25.0
32.0, 17.0, 47.0, 15.0, 40.0, 50.0, 42.0, 36.0, 48.0, 0.0, 25.0, 35.0, 25.0, 43.0, 64.0, 60.0, 60.0, 58.0, 40.0, 40.0, 11.0, 41.0, 50.0, 55.0, 26.0, 41.0, 31.0, 28.0, 26.0, 20.0, 15.0, 25.0, 21.0, 8.0, 11.0, 9.0, 53.0, 53.0, 74.0, 48.0, 38.0, 54.0, 57.0, 65.0, 63.0, 53.0, 54.0, 47.0, 42.0, 49.0
25.0, 15.0, 43.0, 29.0, 47.0, 33.0, 30.0, 14.0, 26.0, 25.0, 0.0, 11.0, 32.0, 35.0, 52.0, 55.0, 44.0, 39.0, 22.0, 15.0, 15.0, 42.0, 52.0, 60.0, 43.0, 53.0, 33.0, 20.0, 25.0, 38.0, 10.0, 8.0, 10.0, 24.0, 35.0, 33.0, 28.0, 41.0, 60.0, 56.0, 36.0, 54.0, 48.0, 57.0, 49.0, 32.0, 30.0, 22.0, 18.0, 25.0
33.0, 26.0, 50.0, 40.0, 57.0, 35.0, 35.0, 15.0, 24.0, 35.0, 11.0, 0.0, 42.0, 41.0, 55.0, 60.0, 46.0, 38.0, 25.0, 7.0, 25.0, 51.0, 60.0, 69.0, 54.0, 63.0, 43.0, 29.0, 35.0, 49.0, 20.0, 17.0, 15.0, 35.0, 46.0, 43.0, 18.0, 45.0, 61.0, 66.0, 44.0, 62.0, 53.0, 62.0, 51.0, 30.0, 24.0, 15.0, 14.0, 14.0
15.0, 16.0, 23.0, 11.0, 15.0, 35.0, 25.0, 33.0, 40.0, 25.0, 32.0, 42.0, 0.0, 22.0, 43.0, 36.0, 42.0, 45.0, 30.0, 43.0, 30.0, 15.0, 25.0, 30.0, 15.0, 21.0, 7.0, 15.0, 9.0, 15.0, 26.0, 25.0, 37.0, 17.0, 25.0, 32.0, 54.0, 33.0, 54.0, 25.0, 14.0, 29.0, 34.0, 41.0, 44.0, 44.0, 49.0, 46.0, 40.0, 55.0
11.0, 26.0, 9.0, 32.0, 25.0, 15.0, 7.0, 26.0, 26.0, 43.0, 35.0, 41.0, 22.0, 0.0, 21.0, 20.0, 20.0, 25.0, 18.0, 38.0, 42.0, 15.0, 21.0, 32.0, 36.0, 35.0, 15.0, 15.0, 16.0, 38.0, 36.0, 27.0, 44.0, 35.0, 46.0, 51.0, 44.0, 11.0, 32.0, 32.0, 10.0, 21.0, 14.0, 23.0, 21.0, 27.0, 36.0, 38.0, 31.0, 49.0
32.0, 46.0, 21.0, 53.0, 41.0, 20.0, 22.0, 40.0, 33.0, 64.0, 52.0, 55.0, 43.0, 21.0, 0.0, 15.0, 11.0, 22.0, 30.0, 50.0, 62.0, 31.0, 30.0, 40.0, 55.0, 50.0, 36.0, 36.0, 37.0, 58.0, 55.0, 44.0, 62.0, 56.0, 67.0, 73.0, 51.0, 11.0, 11.0, 45.0, 29.0, 27.0, 9.0, 10.0, 5.0, 29.0, 40.0, 46.0, 42.0, 58.0
30.0, 45.0, 13.0, 47.0, 29.0, 29.0, 25.0, 46.0, 42.0, 60.0, 55.0, 60.0, 36.0, 20.0, 15.0, 0.0, 25.0, 35.0, 36.0, 57.0, 61.0, 21.0, 15.0, 25.0, 46.0, 38.0, 29.0, 35.0, 33.0, 50.0, 55.0, 47.0, 64.0, 52.0, 61.0, 68.0, 61.0, 18.0, 25.0, 30.0, 22.0, 12.0, 9.0, 7.0, 21.0, 40.0, 51.0, 55.0, 49.0, 67.0
29.0, 42.0, 25.0, 51.0, 45.0, 11.0, 18.0, 31.0, 23.0, 60.0, 44.0, 46.0, 42.0, 20.0, 11.0, 25.0, 0.0, 11.0, 22.0, 40.0, 57.0, 35.0, 36.0, 47.0, 57.0, 55.0, 36.0, 32.0, 35.0, 58.0, 50.0, 38.0, 55.0, 53.0, 65.0, 69.0, 40.0, 10.0, 15.0, 50.0, 30.0, 34.0, 16.0, 21.0, 6.0, 18.0, 29.0, 36.0, 32.0, 48.0
30.0, 40.0, 32.0, 52.0, 50.0, 10.0, 20.0, 25.0, 13.0, 58.0, 39.0, 38.0, 45.0, 25.0, 22.0, 35.0, 11.0, 0.0, 18.0, 31.0, 53.0, 41.0, 44.0, 55.0, 60.0, 60.0, 40.0, 31.0, 36.0, 60.0, 46.0, 34.0, 49.0, 52.0, 65.0, 67.0, 30.0, 18.0, 25.0, 57.0, 35.0, 43.0, 26.0, 32.0, 17.0, 8.0, 18.0, 26.0, 23.0, 38.0
