RC-n40-k10-L8

CUSTOMER NUMBER
40

VEHICLE NUMBER
10

LIMIT
8

COMPATIBILITY SETS
Vehicle 0
32, 33, 2, 34, 4, 36, 37, 6, 11, 12, 13, 18, 22, 24, 25, 26, 27, 30, 31

Vehicle 1
32, 1, 3, 4, 5, 37, 6, 38, 39, 8, 13, 18, 20, 21, 22, 23, 28, 30

Vehicle 2
33, 34, 36, 5, 6, 39, 9, 10, 12, 13, 15, 16, 21, 28, 30, 31

Vehicle 3
33, 2, 34, 4, 38, 7, 39, 11, 13, 14, 15, 17, 23, 24, 28, 29, 30, 31

Vehicle 4
32, 1, 34, 35, 4, 36, 5, 38, 8, 9, 12, 14, 16, 19, 23, 24, 28, 31

Vehicle 5
32, 1, 33, 34, 4, 5, 6, 8, 9, 11, 16, 18, 20, 28, 30, 31

Vehicle 6
32, 1, 33, 34, 35, 36, 6, 38, 7, 39, 10, 11, 13, 16, 18, 19, 22, 23, 25, 26, 28, 29

Vehicle 7
32, 1, 33, 3, 35, 4, 36, 5, 37, 6, 9, 16, 19, 22, 24, 25, 26, 27, 28, 31

Vehicle 8
32, 1, 33, 2, 34, 3, 35, 4, 5, 37, 6, 38, 39, 9, 13, 14, 15, 17, 21, 22, 23, 26, 28, 30

Vehicle 9
1, 33, 34, 3, 35, 4, 5, 6, 39, 10, 14, 16, 18, 23, 28, 30, 31


DISTANCE MATRIX
0.0, 38.0, 30.0, 39.0, 36.0, 40.0, 33.0, 35.0, 39.0, 33.0, 31.0, 33.0, 32.0, 38.0, 35.0, 39.0, 41.0, 40.0, 45.0, 40.0, 35.0, 45.0, 35.0, 45.0, 35.0, 45.0, 58.0, 57.0, 55.0, 52.0, 52.0, 50.0, 51.0, 51.0, 47.0, 44.0, 43.0, 40.0, 37.0, 36.0
38.0, 0.0, 10.0, 3.0, 7.0, 5.0, 12.0, 14.0, 11.0, 52.0, 47.0, 48.0, 43.0, 53.0, 44.0, 50.0, 51.0, 47.0, 82.0, 76.0, 72.0, 81.0, 71.0, 81.0, 71.0, 80.0, 89.0, 86.0, 86.0, 82.0, 83.0, 80.0, 82.0, 84.0, 78.0, 42.0, 40.0, 40.0, 37.0, 35.0
30.0, 10.0, 0.0, 10.0, 5.0, 10.0, 4.0, 7.0, 8.0, 41.0, 37.0, 37.0, 33.0, 43.0, 34.0, 40.0, 41.0, 37.0, 73.0, 68.0, 63.0, 72.0, 62.0, 71.0, 62.0, 71.0, 85.0, 83.0, 83.0, 78.0, 79.0, 77.0, 79.0, 80.0, 74.0, 46.0, 44.0, 43.0, 40.0, 38.0
39.0, 3.0, 10.0, 0.0, 5.0, 2.0, 10.0, 12.0, 8.0, 51.0, 46.0, 47.0, 42.0, 52.0, 43.0, 49.0, 50.0, 45.0, 82.0, 77.0, 72.0, 82.0, 72.0, 81.0, 71.0, 81.0, 91.0, 88.0, 89.0, 84.0, 85.0, 82.0, 85.0, 87.0, 80.0, 45.0, 43.0, 43.0, 40.0, 38.0
36.0, 7.0, 5.0, 5.0, 0.0, 5.0, 5.0, 7.0, 5.0, 46.0, 41.0, 41.0, 37.0, 47.0, 38.0, 43.0, 44.0, 40.0, 78.0, 73.0, 68.0, 77.0, 68.0, 77.0, 67.0, 76.0, 90.0, 87.0, 87.0, 83.0, 84.0, 81.0, 83.0, 85.0, 79.0, 47.0, 45.0, 45.0, 42.0, 40.0
40.0, 5.0, 10.0, 2.0, 5.0, 0.0, 10.0, 11.0, 7.0, 50.0, 46.0, 46.0, 41.0, 52.0, 42.0, 48.0, 49.0, 44.0, 83.0, 78.0, 73.0, 82.0, 72.0, 82.0, 72.0, 81.0, 93.0, 90.0, 90.0, 86.0, 87.0, 84.0, 86.0, 88.0, 82.0, 47.0, 45.0, 45.0, 42.0, 40.0
33.0, 12.0, 4.0, 10.0, 5.0, 10.0, 0.0, 3.0, 5.0, 40.0, 35.0, 36.0, 31.0, 42.0, 32.0, 38.0, 39.0, 34.0, 74.0, 69.0, 64.0, 73.0, 63.0, 72.0, 63.0, 72.0, 89.0, 86.0, 86.0, 82.0, 83.0, 80.0, 82.0, 83.0, 78.0, 50.0, 48.0, 47.0, 44.0, 42.0
35.0, 14.0, 7.0, 12.0, 7.0, 11.0, 3.0, 0.0, 5.0, 40.0, 35.0, 35.0, 30.0, 41.0, 31.0, 37.0, 38.0, 33.0, 75.0, 70.0, 65.0, 74.0, 65.0, 73.0, 64.0, 72.0, 91.0, 89.0, 89.0, 85.0, 85.0, 83.0, 84.0, 86.0, 80.0, 52.0, 50.0, 50.0, 47.0, 45.0
39.0, 11.0, 8.0, 8.0, 5.0, 7.0, 5.0, 5.0, 0.0, 45.0, 40.0, 40.0, 35.0, 46.0, 36.0, 42.0, 42.0, 38.0, 80.0, 75.0, 70.0, 79.0, 69.0, 78.0, 68.0, 77.0, 94.0, 91.0, 91.0, 87.0, 88.0, 85.0, 87.0, 89.0, 83.0, 52.0, 50.0, 50.0, 47.0, 45.0
33.0, 52.0, 41.0, 51.0, 46.0, 50.0, 40.0, 40.0, 45.0, 0.0, 5.0, 5.0, 10.0, 5.0, 11.0, 9.0, 11.0, 14.0, 45.0, 40.0, 37.0, 42.0, 36.0, 41.0, 34.0, 39.0, 85.0, 85.0, 82.0, 80.0, 78.0, 78.0, 77.0, 75.0, 75.0, 75.0, 74.0, 72.0, 68.0, 67.0
