RC-n50-k12-L8

CUSTOMER NUMBER
50

VEHICLE NUMBER
12

LIMIT
8

COMPATIBILITY SETS
Vehicle 0
32, 1, 2, 36, 5, 38, 39, 8, 41, 42, 12, 44, 13, 14, 46, 47, 49, 21, 23, 26, 27, 29

Vehicle 1
1, 4, 5, 6, 7, 8, 13, 14, 17, 18, 19, 20, 21, 22, 24, 28, 32, 34, 35, 37, 39, 40, 41, 46, 49

Vehicle 2
1, 3, 4, 5, 6, 9, 12, 13, 14, 15, 16, 19, 21, 22, 23, 26, 28, 29, 30, 31, 32, 33, 34, 37, 39, 41, 42, 43, 45, 46, 47

Vehicle 3
32, 1, 34, 36, 37, 6, 7, 8, 40, 41, 10, 11, 12, 44, 14, 46, 16, 18, 23, 27, 28, 30, 31

Vehicle 4
2, 4, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 28, 29, 31, 32, 33, 34, 35, 37, 38, 39, 40, 41, 43, 44

Vehicle 5
1, 2, 3, 4, 7, 8, 14, 15, 17, 19, 20, 22, 23, 26, 27, 29, 30, 31, 32, 34, 35, 38, 39, 41, 42, 43, 45, 46, 47, 48, 49

Vehicle 6
1, 34, 36, 5, 38, 8, 9, 41, 42, 11, 43, 45, 47, 18, 20, 22, 24, 26, 31

Vehicle 7
1, 3, 6, 8, 10, 11, 12, 14, 15, 16, 17, 19, 20, 23, 25, 27, 28, 29, 33, 36, 37, 38, 40, 41, 43, 47, 48, 49

Vehicle 8
32, 34, 4, 5, 8, 42, 44, 13, 15, 47, 16, 48, 18, 20, 21, 24, 25, 27, 28, 29

Vehicle 9
2, 3, 7, 8, 9, 11, 13, 14, 17, 18, 20, 21, 22, 25, 27, 29, 30, 34, 35, 36, 37, 38, 39, 40, 41, 42, 44, 47, 48, 49

Vehicle 10
4, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 21, 24, 26, 28, 30, 32, 33, 35, 37, 39, 40, 44, 45, 46, 48

Vehicle 11
32, 1, 2, 34, 4, 5, 37, 7, 40, 41, 42, 43, 12, 44, 47, 16, 48, 49, 20, 21, 23, 25, 28, 31


DISTANCE MATRIX
0.0, 38.0, 30.0, 39.0, 36.0, 40.0, 33.0, 35.0, 39.0, 33.0, 31.0, 33.0, 32.0, 38.0, 35.0, 39.0, 41.0, 40.0, 45.0, 40.0, 35.0, 45.0, 35.0, 45.0, 35.0, 45.0, 58.0, 57.0, 55.0, 52.0, 52.0, 50.0, 51.0, 51.0, 47.0, 44.0, 43.0, 40.0, 37.0, 36.0, 40.0, 30.0, 33.0, 38.0, 35.0, 37.0, 37.0, 38.0, 45.0, 38.0
38.0, 0.0, 10.0, 3.0, 7.0, 5.0, 12.0, 14.0, 11.0, 52.0, 47.0, 48.0, 43.0, 53.0, 44.0, 50.0, 51.0, 47.0, 82.0, 76.0, 72.0, 81.0, 71.0, 81.0, 71.0, 80.0, 89.0, 86.0, 86.0, 82.0, 83.0, 80.0, 82.0, 84.0, 78.0, 42.0, 40.0, 40.0, 37.0, 35.0, 35.0, 34.0, 30.0, 30.0, 30.0, 5.0, 8.0, 46.0, 81.0, 74.0
30.0, 10.0, 0.0, 10.0, 5.0, 10.0, 4.0, 7.0, 8.0, 41.0, 37.0, 37.0, 33.0, 43.0, 34.0, 40.0, 41.0, 37.0, 73.0, 68.0, 63.0, 72.0, 62.0, 71.0, 62.0, 71.0, 85.0, 83.0, 83.0, 78.0, 79.0, 77.0, 79.0, 80.0, 74.0, 46.0, 44.0, 43.0, 40.0, 38.0, 39.0, 36.0, 33.0, 34.0, 33.0, 7.0, 6.0, 36.0, 72.0, 66.0
39.0, 3.0, 10.0, 0.0, 5.0, 2.0, 10.0, 12.0, 8.0, 51.0, 46.0, 47.0, 42.0, 52.0, 43.0, 49.0, 50.0, 45.0, 82.0, 77.0, 72.0, 82.0, 72.0, 81.0, 71.0, 81.0, 91.0, 88.0, 89.0, 84.0, 85.0, 82.0, 85.0, 87.0, 80.0, 45.0, 43.0, 43.0, 40.0, 38.0, 38.0, 37.0, 33.0, 33.0, 33.0, 3.0, 6.0, 44.0, 82.0, 75.0
36.0, 7.0, 5.0, 5.0, 0.0, 5.0, 5.0, 7.0, 5.0, 46.0, 41.0, 41.0, 37.0, 47.0, 38.0, 43.0, 44.0, 40.0, 78.0, 73.0, 68.0, 77.0, 68.0, 77.0, 67.0, 76.0, 90.0, 87.0, 87.0, 83.0, 84.0, 81.0, 83.0, 85.0, 79.0, 47.0, 45.0, 45.0, 42.0, 40.0, 40.0, 38.0, 35.0, 35.0, 35.0, 2.0, 2.0, 39.0, 78.0, 71.0
40.0, 5.0, 10.0, 2.0, 5.0, 0.0, 10.0, 11.0, 7.0, 50.0, 46.0, 46.0, 41.0, 52.0, 42.0, 48.0, 49.0, 44.0, 83.0, 78.0, 73.0, 82.0, 72.0, 82.0, 72.0, 81.0, 93.0, 90.0, 90.0, 86.0, 87.0, 84.0, 86.0, 88.0, 82.0, 47.0, 45.0, 45.0, 42.0, 40.0, 40.0, 39.0, 35.0, 35.0, 35.0, 3.0, 5.0, 43.0, 82.0, 76.0
33.0, 12.0, 4.0, 10.0, 5.0, 10.0, 0.0, 3.0, 5.0, 40.0, 35.0, 36.0, 31.0, 42.0, 32.0, 38.0, 39.0, 34.0, 74.0, 69.0, 64.0, 73.0, 63.0, 72.0, 63.0, 72.0, 89.0, 86.0, 86.0, 82.0, 83.0, 80.0, 82.0, 83.0, 78.0, 50.0, 48.0, 47.0, 44.0, 42.0, 43.0, 40.0, 37.0, 38.0, 37.0, 7.0, 5.0, 34.0, 74.0, 67.0
35.0, 14.0, 7.0, 12.0, 7.0, 11.0, 3.0, 0.0, 5.0, 40.0, 35.0, 35.0, 30.0, 41.0, 31.0, 37.0, 38.0, 33.0, 75.0, 70.0, 65.0, 74.0, 65.0, 73.0, 64.0, 72.0, 91.0, 89.0, 89.0, 85.0, 85.0, 83.0, 84.0, 86.0, 80.0, 52.0, 50.0, 50.0, 47.0, 45.0, 46.0, 43.0, 40.0, 41.0, 40.0, 8.0, 5.0, 32.0, 75.0, 68.0
39.0, 11.0, 8.0, 8.0, 5.0, 7.0, 5.0, 5.0, 0.0, 45.0, 40.0, 40.0, 35.0, 46.0, 36.0, 42.0, 42.0, 38.0, 80.0, 75.0, 70.0, 79.0, 69.0, 78.0, 68.0, 77.0, 94.0, 91.0, 91.0, 87.0, 88.0, 85.0, 87.0, 89.0, 83.0, 52.0, 50.0, 50.0, 47.0, 45.0, 45.0, 43.0, 40.0, 40.0, 40.0, 5.0, 3.0, 37.0, 79.0, 73.0
33.0, 52.0, 41.0, 51.0, 46.0, 50.0, 40.0, 40.0, 45.0, 0.0, 5.0, 5.0, 10.0, 5.0, 11.0, 9.0, 11.0, 14.0, 45.0, 40.0, 37.0, 42.0, 36.0, 41.0, 34.0, 39.0, 85.0, 85.0, 82.0, 80.0, 78.0, 78.0, 77.0, 75.0, 75.0, 75.0, 74.0, 72.0, 68.0, 67.0, 70.0, 62.0, 63.0, 67.0, 65.0, 48.0, 45.0, 12.0, 43.0, 39.0
