USPS,GEOID,POP10,HU10,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                                  
H1,,,,,,,,42.33174,-83.04777
H2,,,,,,,,42.32442,-83.23724
H3,,,,,,,,42.27053,-83.12218
H4,,,,,,,,42.20101,-83.15025
H5,,,,,,,,42.27544,-83.1262
MI,26163500100,4032,1634,1202405,0,0.464,0,42.4444014,-82.950921
MI,26163500200,3207,1203,939797,0,0.363,0,42.4461071,-82.9633178
MI,26163500300,3137,1338,1284678,0,0.496,0,42.4388723,-82.9656436
MI,26163500400,1664,818,987878,0,0.381,0,42.4261558,-82.9793388
MI,26163500500,2205,981,813327,0,0.314,0,42.4241342,-82.9679434
MI,26163500600,3714,1589,1485934,0,0.574,0,42.4315247,-82.9651767
MI,26163500700,4391,1785,1216845,0,0.47,0,42.4295995,-82.9473259
MI,26163500800,2485,1029,804943,0,0.311,0,42.4246567,-82.9351961
MI,26163500900,4035,1707,1166209,0,0.45,0,42.4223549,-82.9475917
MI,26163501000,3499,1375,896049,0,0.346,0,42.4187276,-82.9515638
MI,26163501100,3762,1572,1235566,0,0.477,0,42.4128315,-82.9601612
MI,26163501200,1963,923,687695,0,0.266,0,42.4114379,-82.951309
MI,26163501300,3836,1747,1235308,0,0.477,0,42.403369,-82.9505462
MI,26163501400,3895,1594,1272550,0,0.491,0,42.4091561,-82.9385202
MI,26163501500,4095,1663,1602780,0,0.619,0,42.4183457,-82.9264931
MI,26163501600,1997,998,1213127,0,0.468,0,42.4129132,-82.9207524
MI,26163501700,2357,1225,1199562,0,0.463,0,42.4042423,-82.9212936
MI,26163501800,4448,1963,1440312,0,0.556,0,42.3983391,-82.9316723
MI,26163501900,3055,1342,742662,0,0.287,0,42.3952603,-82.9401
MI,26163502000,2348,1091,894356,0,0.345,0,42.3932938,-82.9469658
MI,26163503100,3081,1112,980539,0,0.379,0,42.4461391,-82.9778891
MI,26163503200,3817,1533,1271340,0,0.491,0,42.4454982,-82.9953169
MI,26163503300,4302,1708,1298176,0,0.501,0,42.4383158,-82.9950446
MI,26163503400,1557,710,670279,0,0.259,0,42.4389974,-82.9801546
MI,26163503500,3936,1786,1615235,0,0.624,0,42.4312541,-82.9922641
MI,26163503600,1939,882,738902,0,0.285,0,42.4249818,-82.9967805
MI,26163503900,2250,1057,983950,0,0.38,0,42.4134536,-82.9873463
MI,26163504000,1483,669,632070,0,0.244,0,42.4169793,-82.9776759
MI,26163504100,1748,910,738734,0,0.285,0,42.4153882,-82.9679696
MI,26163504200,2426,1183,1007001,0,0.389,0,42.4081498,-82.9717558
MI,26163504300,2695,1230,946108,0,0.365,0,42.4055763,-82.9803156
MI,26163504400,1999,1060,969533,0,0.374,0,42.4030542,-82.9892425
MI,26163504700,2097,978,1311772,0,0.506,0,42.39415,-83.0172716
MI,26163504800,793,426,3159508,0,1.22,0,42.4089695,-83.0133701
MI,26163504900,3495,1443,2249050,0,0.868,0,42.4263378,-83.0129968
MI,26163505000,1263,580,758140,0,0.293,0,42.4391006,-83.0087283
MI,26163505100,3776,1814,2147647,0,0.829,0,42.4403465,-83.0179417
MI,26163505200,3348,1529,1065967,0,0.412,0,42.413801,-83.0035037
MI,26163505400,3001,1404,1390236,0,0.537,0,42.4186463,-82.9937654
MI,26163505500,1472,662,1905278,0,0.736,0,42.3970633,-83.0014601
MI,26163506100,1921,829,922606,0,0.356,0,42.4445674,-83.0320133
MI,26163506200,2285,945,983484,0,0.38,0,42.4374798,-83.031691
MI,26163506300,2352,1022,1941719,0,0.75,0,42.4265859,-83.0313176
MI,26163506400,3095,593,1824590,0,0.704,0,42.4225996,-83.0523153
MI,26163506500,2256,1101,955943,0,0.369,0,42.429876,-83.0459797
MI,26163506600,3240,1469,1236920,0,0.478,0,42.4370474,-83.04852
MI,26163506700,1229,541,935177,0,0.361,0,42.4441868,-83.046581
MI,26163506800,3865,1718,1748868,0,0.675,0,42.4438513,-83.0676404
MI,26163506900,3818,1630,1208312,0,0.467,0,42.4368143,-83.0671656
MI,26163507000,2948,1295,1186008,0,0.458,0,42.4296948,-83.0621938
MI,26163507100,2617,1322,1079666,0,0.417,0,42.4277494,-83.0763573
MI,26163507200,1434,754,754611,0,0.291,0,42.4209193,-83.073764
MI,26163507300,2814,1391,1309881,0,0.506,0,42.4262623,-83.0877402
MI,26163507400,3153,1522,1239599,0,0.479,0,42.4362144,-83.0856365
MI,26163507500,2479,1229,893431,0,0.345,0,42.4432546,-83.0881317
MI,26163507800,772,419,1270564,0,0.491,0,42.4243919,-83.0970382
MI,26163507900,2200,1224,1060854,0,0.41,0,42.4263906,-83.1066037
MI,26163508000,1343,881,1780908,0,0.688,0,42.4392203,-83.1132634
MI,26163508100,2227,1292,1574310,0,0.608,0,42.440894,-83.1014824
MI,26163510400,976,613,1582438,26408,0.611,0.01,42.414748,-83.0760398
MI,26163510500,3723,1358,1433504,0,0.553,0,42.4086539,-83.0689077
MI,26163510600,4206,1513,1381368,0,0.533,0,42.4074065,-83.0465471
MI,26163510700,1888,595,567158,0,0.219,0,42.3936461,-83.0398776
MI,26163511000,1971,934,5055983,0,1.952,0,42.400826,-83.0306599
MI,26163511200,1442,872,1342645,0,0.518,0,42.3763856,-83.0658451
MI,26163511300,2510,1128,1513883,0,0.585,0,42.4154477,-83.0497684
MI,26163511400,2681,1663,1951620,0,0.754,0,42.3900705,-83.077663
MI,26163511900,1462,1020,1152679,0,0.445,0,42.3735241,-83.0718813
MI,26163512100,3532,1720,1193422,0,0.461,0,42.3989089,-82.9638962
MI,26163512200,1321,463,1333956,0,0.515,0,42.3953197,-82.9768484
MI,26163512300,1677,841,793826,0,0.306,0,42.3882982,-82.9663155
MI,26163512400,1481,786,1001617,0,0.387,0,42.3908867,-82.9560714
MI,26163512600,1953,963,1383722,0,0.534,0,42.3820764,-82.9560601
MI,26163512900,1639,1000,1514795,0,0.585,0,42.3755477,-82.9504678
MI,26163513200,1843,1047,927895,0,0.358,0,42.3679701,-82.938338
MI,26163513300,2300,1152,1616439,1705828,0.624,0.659,42.3582384,-82.9413094
MI,26163513600,1469,791,978906,0,0.378,0,42.3657136,-82.9802179
MI,26163513700,3256,1710,3327454,505795,1.285,0.195,42.3580493,-82.9609921
MI,26163513900,2235,1230,1286288,0,0.497,0,42.3722151,-82.9837943
MI,26163514100,3486,1756,1609639,0,0.621,0,42.3798303,-82.9893988
MI,26163514200,2726,1441,982297,0,0.379,0,42.3817139,-83.0084252
MI,26163514300,3075,1416,2019290,0,0.78,0,42.3888619,-82.9934067
MI,26163514500,1416,651,563936,0,0.218,0,42.375316,-82.9999028
MI,26163515200,2032,915,929506,0,0.359,0,42.3616627,-83.0056672
MI,26163515300,3117,2145,795120,0,0.307,0,42.3532902,-83.000551
MI,26163515400,1344,739,902465,0,0.348,0,42.3609676,-82.9963793
MI,26163515600,1385,846,864898,0,0.334,0,42.3639483,-82.9917654
MI,26163515700,3295,2962,1208050,1059803,0.466,0.409,42.353039,-82.9871415
MI,26163515900,1643,800,1268220,0,0.49,0,42.3829752,-83.0169292
MI,26163516000,3052,1406,1436083,0,0.554,0,42.3714831,-83.0093251
MI,26163516100,734,423,1349362,0,0.521,0,42.3756603,-83.0258411
MI,26163516200,774,472,565213,0,0.218,0,42.3661558,-83.018939
MI,26163516300,890,425,619160,0,0.239,0,42.3595713,-83.0152242
MI,26163516400,1095,661,1030497,0,0.398,0,42.3508558,-83.0096137
MI,26163516500,1404,1150,1338782,1045874,0.517,0.404,42.3375655,-83.0148583
MI,26163516600,2058,1074,691101,0,0.267,0,42.3413645,-83.0201887
MI,26163516700,2977,1642,1199188,0,0.463,0,42.3483954,-83.0210206
MI,26163516800,1041,532,983256,0,0.38,0,42.3560005,-83.0254934
MI,26163516900,1991,1578,615129,0,0.238,0,42.3446547,-83.030245
MI,26163517000,2360,2242,574447,0,0.222,0,42.3408105,-83.0361037
MI,26163517100,1062,886,280696,0,0.108,0,42.3358287,-83.0330442
MI,26163517200,1438,724,1632385,447536,0.63,0.173,42.3338393,-83.0390113
MI,26163517300,1943,1357,839443,0,0.324,0,42.3456895,-83.0505419
MI,26163517500,2192,1646,1101313,0,0.425,0,42.3541327,-83.0560746
MI,26163518000,2264,1390,851150,0,0.329,0,42.3624987,-83.0613713
MI,26163518400,630,354,1056546,0,0.408,0,42.3698286,-83.0441079
MI,26163518500,1210,652,800479,0,0.309,0,42.3732892,-83.0345719
MI,26163518600,797,395,741602,0,0.286,0,42.3647264,-83.0294479
MI,26163518800,795,485,1415467,0,0.547,0,42.3597016,-83.0372366
MI,26163518900,1854,892,1844379,0,0.712,0,42.3525953,-83.043507
MI,26163520200,2571,1081,826138,0,0.319,0,42.3572141,-83.0699378
MI,26163520300,2038,1483,451117,0,0.174,0,42.3497881,-83.0627334
MI,26163520400,1835,1259,409578,0,0.158,0,42.3481561,-83.067593
MI,26163520700,2233,2451,767428,0,0.296,0,42.3347168,-83.0554556
MI,26163520800,1616,1397,1348294,686823,0.521,0.265,42.3254678,-83.0537969
MI,26163521100,2080,912,1600031,117811,0.618,0.045,42.3208768,-83.0808652
MI,26163521300,954,413,969178,0,0.374,0,42.334123,-83.0929489
MI,26163521400,1192,769,1305626,0,0.504,0,42.3305838,-83.0730165
MI,26163521500,1690,948,1507941,0,0.582,0,42.3368603,-83.076392
MI,26163521800,1216,778,224907,0,0.087,0,42.3461214,-83.0712523
MI,26163521900,2942,1501,1692449,0,0.653,0,42.3503993,-83.0805337
MI,26163522000,2061,969,1606031,0,0.62,0,42.3435757,-83.0875891
MI,26163522100,950,566,1112081,0,0.429,0,42.343509,-83.101414
MI,26163522200,655,435,525670,0,0.203,0,42.3511187,-83.1065656
MI,26163522300,1704,1145,1651498,0,0.638,0,42.3565382,-83.0965947
MI,26163522400,1147,698,959049,0,0.37,0,42.3609881,-83.0833636
MI,26163522500,1707,1591,934676,0,0.361,0,42.3411363,-83.0606837
MI,26163523100,1648,695,1475574,0,0.57,0,42.325951,-83.1023821
MI,26163523200,3850,1373,855804,0,0.33,0,42.3144563,-83.1042425
MI,26163523300,3326,1192,700693,0,0.271,0,42.317227,-83.0975239
MI,26163523400,2720,1271,770160,0,0.297,0,42.3196503,-83.0910903
MI,26163523800,4582,1589,1287632,0,0.497,0,42.3078841,-83.1139929
MI,26163524000,2985,1142,1627952,0,0.629,0,42.3169861,-83.1199144
MI,26163524100,3942,1675,1822596,8689,0.704,0.003,42.311365,-83.137332
MI,26163524200,4964,1904,864528,0,0.334,0,42.3070018,-83.1291089
MI,26163524300,2812,1036,1588716,51534,0.613,0.02,42.3001177,-83.1320379
MI,26163524500,1264,457,2767947,126346,1.069,0.049,42.2868892,-83.1512103
MI,26163524700,4150,2153,2034764,0,0.786,0,42.273953,-83.1526152
MI,26163524800,2796,1367,1118325,0,0.432,0,42.2630997,-83.1615912
MI,26163524900,1679,687,3652752,265454,1.41,0.102,42.2904837,-83.1246926
MI,26163525000,1104,522,3958989,1047762,1.529,0.405,42.3036532,-83.0973176
MI,26163525400,2374,1049,1203860,0,0.465,0,42.3391838,-83.1140246
MI,26163525500,1191,474,875685,0,0.338,0,42.334014,-83.1093553
MI,26163525600,1671,647,778857,0,0.301,0,42.3282644,-83.1115806
MI,26163525700,5004,1906,1363781,0,0.527,0,42.3267956,-83.1262619
MI,26163525800,2091,833,564971,0,0.218,0,42.3332194,-83.1284291
MI,26163526000,2984,1089,1679893,0,0.649,0,42.3259356,-83.1429717
MI,26163526100,2631,884,683496,0,0.264,0,42.3334778,-83.1520873
MI,26163526200,3176,1042,702689,0,0.271,0,42.3372007,-83.1452619
MI,26163526300,3635,1309,1013504,0,0.391,0,42.3390784,-83.1384863
MI,26163526400,1600,622,567045,0,0.219,0,42.3405358,-83.1309829
MI,26163526500,2482,1194,971613,0,0.375,0,42.3481772,-83.1404328
MI,26163527200,1190,685,637165,0,0.246,0,42.3515946,-83.1186144
MI,26163527300,1275,767,1016296,0,0.392,0,42.3457181,-83.118438
MI,26163530100,3024,1677,1292334,0,0.499,0,42.4096746,-83.1216653
MI,26163530200,4192,1730,1426268,0,0.551,0,42.4111231,-83.1341948
